ID,Curso,Origem,Especialidade_Medico,Consultor,Etapa,Status,Valor_Proposta_R$,Data_Primeiro_Contato,Dias_No_Funil,Motivo_Perda,Turma_Interesse,Score_Lead,Observacoes
376,EAD,Site Orgânico,Ortopedia,Vendedor 2,Proposta Enviada,Em andamento,1200.00,16/05/2026,90,,T4/26,59,Proposta personalizada enviada
377,POS,WhatsApp,Medicina do Trabalho,Vendedor 1,Matriculado,Ganho,32300.00,28/06/2026,108,,T1/26,84,Boleto gerado
378,NEXAL,Webinar,Cardiologia,Vendedor 1,Contato Realizado,Em andamento,9310.00,20/05/2026,113,,T4/26,62,Demo agendada
379,HTI,Indicação,Medicina do Trabalho,Vendedor 6,Contato Realizado,Em andamento,17748.00,17/06/2026,49,,T2/26,70,Interesse demonstrado
380,NEXAL,LinkedIn,Endocrinologia,Vendedor 2,Matriculado,Ganho,9800.00,18/05/2026,34,,T4/26,76,Pix recebido
381,EAD,Site Orgânico,Cardiologia,Vendedor 2,Negociação,Em andamento,1140.00,15/02/2026,62,,T3/26,91,Esperando retorno do cônjuge
382,NEXAL,Parceiro Clínica,Nutrologia,Vendedor 1,Matriculado,Ganho,8820.00,18/06/2026,18,,T1/26,59,Parcelado 12x aprovado
383,EAD,Google Ads,Clínica Geral,Vendedor 5,Negociação,Em andamento,1020.00,21/05/2026,44,,T1/26,50,Em análise de parcelamento
384,EAD,Indicação,Clínica Geral,Vendedor 1,Contato Realizado,Em andamento,1140.00,23/01/2026,56,,T1/26,63,Demo agendada
385,NEXAL,LinkedIn,Medicina do Trabalho,Vendedor 7,Matriculado,Ganho,9800.00,17/06/2026,79,,T3/26,37,Boleto gerado
386,EAD,Webinar,Pediatria,Vendedor 7,Contato Realizado,Em andamento,1080.00,13/05/2026,120,,T3/26,54,Demo agendada
387,R2,Congresso,Ortopedia,Vendedor 4,Proposta Enviada,Em andamento,8500.00,10/01/2026,87,,T3/26,60,Aguardando leitura
388,HTI,Google Ads,Clínica Geral,Vendedor 3,Matriculado,Ganho,17748.00,12/04/2026,86,,T4/26,55,Pagamento confirmado
389,EAD,LinkedIn,Clínica Geral,Vendedor 6,Proposta Enviada,Em andamento,1020.00,30/05/2026,72,,T3/26,74,Proposta personalizada enviada
390,SHHE,Parceiro Clínica,Cardiologia,Vendedor 2,Perdido,Perdido,14155.00,08/03/2026,1,Sem tempo no momento,T4/26,94,Lead frio
391,R2,LinkedIn,Ortopedia,Vendedor 3,Proposta Enviada,Em andamento,8500.00,12/05/2026,103,,T3/26,98,Aguardando leitura
392,NEXAL,Webinar,Psiquiatria,Vendedor 6,Negociação,Em andamento,9800.00,28/03/2026,97,,T4/26,88,Aguardando aprovação financeira
393,POS,LinkedIn,Dermatologia,Vendedor 7,Proposta Enviada,Em andamento,32300.00,23/06/2026,29,,T2/26,70,Proposta personalizada enviada
394,NEXAL,Congresso,Ortopedia,Vendedor 7,Matriculado,Ganho,9800.00,15/03/2026,32,,T1/26,81,Pix recebido
395,HTI,Congresso,Endocrinologia,Vendedor 2,Proposta Enviada,Em andamento,17748.00,27/05/2026,115,,T3/26,53,Aguardando leitura
396,EAD,Email Marketing,Pediatria,Vendedor 4,Contato Realizado,Em andamento,1080.00,09/03/2026,31,,T2/26,59,Demo agendada
397,SHHE,Parceiro Clínica,Nutrologia,Vendedor 5,Matriculado,Ganho,14900.00,21/01/2026,118,,T4/26,30,Pagamento confirmado
398,POS,WhatsApp,Medicina do Trabalho,Vendedor 3,Negociação,Em andamento,36100.00,12/03/2026,112,,T4/26,53,Esperando retorno do cônjuge
399,POS,Email Marketing,Medicina do Trabalho,Vendedor 5,Lead Captado,Em andamento,32300.00,03/05/2026,55,,T1/26,94,Aguardando primeiro contato
400,POS,Google Ads,Pediatria,Vendedor 7,Matriculado,Ganho,38000.00,26/06/2026,41,,T1/26,31,Boleto gerado
401,POS,Parceiro Clínica,Clínica Geral,Vendedor 3,Proposta Enviada,Em andamento,32300.00,17/02/2026,34,,T3/26,60,Proposta personalizada enviada
402,POS,Parceiro Clínica,Nutrologia,Vendedor 3,Contato Realizado,Em andamento,38000.00,18/04/2026,27,,T3/26,76,Interesse demonstrado
403,NEXAL,Webinar,Endocrinologia,Vendedor 6,Contato Realizado,Em andamento,9310.00,28/02/2026,88,,T1/26,64,Demo agendada
404,R2,Site Orgânico,Psiquiatria,Vendedor 5,Contato Realizado,Em andamento,7650.00,02/05/2026,20,,T1/26,52,Interesse demonstrado
405,POS,Google Ads,Neurologia,Vendedor 6,Negociação,Em andamento,38000.00,05/05/2026,101,,T3/26,62,Aguardando aprovação financeira
406,POS,LinkedIn,Geriatria,Vendedor 5,Lead Captado,Em andamento,32300.00,02/05/2026,33,,T1/26,87,Aguardando primeiro contato
407,NEXAL,WhatsApp,Nutrologia,Vendedor 6,Negociação,Em andamento,8330.00,30/03/2026,33,,T1/26,82,Aguardando aprovação financeira
408,NEXAL,Parceiro Clínica,Cardiologia,Vendedor 6,Negociação,Em andamento,8820.00,14/02/2026,69,,T3/26,75,Esperando retorno do cônjuge
409,EAD,Congresso,Pediatria,Vendedor 1,Matriculado,Ganho,1200.00,07/06/2026,49,,T3/26,89,Boleto gerado
410,SHHE,WhatsApp,Psiquiatria,Vendedor 4,Negociação,Em andamento,14900.00,19/01/2026,109,,T1/26,50,Esperando retorno do cônjuge
411,SHHE,WhatsApp,Nutrologia,Vendedor 4,Proposta Enviada,Em andamento,14900.00,15/06/2026,78,,T4/26,64,Proposta personalizada enviada
412,NEXAL,Parceiro Clínica,Ortopedia,Vendedor 2,Proposta Enviada,Em andamento,9800.00,06/01/2026,110,,T2/26,60,Aguardando leitura
413,NEXAL,LinkedIn,Cardiologia,Vendedor 5,Proposta Enviada,Em andamento,9800.00,02/05/2026,9,,T1/26,33,Proposta personalizada enviada
414,R2,LinkedIn,Clínica Geral,Vendedor 3,Negociação,Em andamento,8500.00,10/04/2026,84,,T3/26,59,Proposta revisada enviada
415,EAD,Instagram,Pediatria,Vendedor 4,Contato Realizado,Em andamento,1140.00,13/02/2026,108,,T1/26,34,Pediu proposta
416,NEXAL,WhatsApp,Pediatria,Vendedor 2,Perdido,Perdido,9310.00,11/03/2026,120,Questões financeiras pessoais,T4/26,47,Confirmou escolha do concorrente
417,R2,Google Ads,Medicina do Trabalho,Vendedor 6,Negociação,Em andamento,7650.00,25/05/2026,82,,T4/26,97,Esperando retorno do cônjuge
418,NEXAL,Webinar,Ortopedia,Vendedor 5,Matriculado,Ganho,9800.00,04/04/2026,40,,T4/26,63,Boleto gerado
419,NEXAL,Indicação,Ginecologia,Vendedor 6,Matriculado,Ganho,8330.00,30/03/2026,18,,T3/26,90,Pagamento confirmado
420,EAD,Webinar,Pediatria,Vendedor 3,Lead Captado,Em andamento,1200.00,16/03/2026,103,,T2/26,30,Aguardando primeiro contato
421,SHHE,Site Orgânico,Ortopedia,Vendedor 2,Proposta Enviada,Em andamento,14900.00,15/06/2026,92,,T4/26,78,Follow-up agendado para 3 dias
422,NEXAL,LinkedIn,Psiquiatria,Vendedor 4,Proposta Enviada,Em andamento,8330.00,06/06/2026,103,,T3/26,66,Aguardando leitura
423,EAD,Congresso,Dermatologia,Vendedor 2,Contato Realizado,Em andamento,1200.00,04/02/2026,24,,T3/26,44,Pediu proposta
424,POS,Parceiro Clínica,Pediatria,Vendedor 3,Matriculado,Ganho,38000.00,24/03/2026,25,,T1/26,49,Pagamento confirmado
425,R2,Indicação,Endocrinologia,Vendedor 7,Proposta Enviada,Em andamento,8500.00,23/04/2026,92,,T1/26,59,Follow-up agendado para 3 dias
426,SHHE,Indicação,Pediatria,Vendedor 5,Proposta Enviada,Em andamento,14900.00,08/05/2026,101,,T3/26,89,Aguardando leitura
427,HTI,WhatsApp,Clínica Geral,Vendedor 1,Matriculado,Ganho,17748.00,10/03/2026,8,,T4/26,39,Parcelado 12x aprovado
428,SHHE,Email Marketing,Dermatologia,Vendedor 1,Proposta Enviada,Em andamento,14900.00,05/03/2026,16,,T4/26,86,Follow-up agendado para 3 dias
429,EAD,Indicação,Cardiologia,Vendedor 2,Matriculado,Ganho,1200.00,20/06/2026,67,,T2/26,90,Parcelado 12x aprovado
430,EAD,Instagram,Nutrologia,Vendedor 5,Negociação,Em andamento,1200.00,21/05/2026,96,,T1/26,62,Em análise de parcelamento
431,EAD,Instagram,Cardiologia,Vendedor 3,Matriculado,Ganho,1020.00,25/02/2026,86,,T1/26,60,Parcelado 12x aprovado
432,NEXAL,Indicação,Endocrinologia,Vendedor 1,Proposta Enviada,Em andamento,9800.00,04/03/2026,51,,T1/26,35,Aguardando leitura
433,EAD,Webinar,Geriatria,Vendedor 6,Contato Realizado,Em andamento,1020.00,05/03/2026,12,,T2/26,93,Demo agendada
434,EAD,Parceiro Clínica,Nutrologia,Vendedor 1,Negociação,Em andamento,1200.00,15/06/2026,46,,T2/26,98,Aguardando aprovação financeira
435,SHHE,Webinar,Cardiologia,Vendedor 3,Perdido,Perdido,12665.00,30/03/2026,83,Desistiu por mudança de prioridades,T2/26,32,Confirmou escolha do concorrente
436,POS,WhatsApp,Geriatria,Vendedor 5,Proposta Enviada,Em andamento,38000.00,23/04/2026,63,,T3/26,99,Aguardando leitura
437,POS,Email Marketing,Medicina do Trabalho,Vendedor 5,Negociação,Em andamento,38000.00,30/04/2026,94,,T3/26,100,Proposta revisada enviada
438,HTI,Congresso,Endocrinologia,Vendedor 2,Proposta Enviada,Em andamento,17748.00,04/04/2026,70,,T4/26,30,Aguardando leitura
439,R2,Site Orgânico,Geriatria,Vendedor 5,Matriculado,Ganho,8075.00,04/04/2026,110,,T2/26,71,Pagamento confirmado
440,EAD,Congresso,Psiquiatria,Vendedor 5,Negociação,Em andamento,1200.00,22/05/2026,99,,T2/26,66,Esperando retorno do cônjuge
441,POS,WhatsApp,Clínica Geral,Vendedor 7,Negociação,Em andamento,38000.00,03/02/2026,6,,T2/26,34,Proposta revisada enviada
442,HTI,Webinar,Cardiologia,Vendedor 7,Lead Captado,Em andamento,15973.20,10/04/2026,108,,T4/26,97,Aguardando primeiro contato
443,HTI,WhatsApp,Cardiologia,Vendedor 6,Matriculado,Ganho,17748.00,23/02/2026,120,,T4/26,40,Parcelado 12x aprovado
444,EAD,Indicação,Nutrologia,Vendedor 6,Matriculado,Ganho,1200.00,05/04/2026,106,,T1/26,64,Pagamento confirmado
445,EAD,LinkedIn,Dermatologia,Vendedor 7,Perdido,Perdido,1140.00,26/01/2026,13,Não respondeu após follow-up,T4/26,54,Lead frio
446,R2,Email Marketing,Medicina do Trabalho,Vendedor 4,Perdido,Perdido,8075.00,23/05/2026,96,Perfil não alinhado com o curso,T1/26,75,Confirmou escolha do concorrente
447,POS,Site Orgânico,Clínica Geral,Vendedor 5,Matriculado,Ganho,36100.00,10/05/2026,52,,T3/26,50,Parcelado 12x aprovado
448,NEXAL,WhatsApp,Ortopedia,Vendedor 3,Matriculado,Ganho,9800.00,12/06/2026,98,,T4/26,71,Boleto gerado
449,R2,Congresso,Cardiologia,Vendedor 2,Matriculado,Ganho,7650.00,03/04/2026,33,,T4/26,87,Parcelado 12x aprovado
450,HTI,Indicação,Dermatologia,Vendedor 6,Lead Captado,Em andamento,17748.00,19/03/2026,114,,T1/26,68,Aguardando primeiro contato
451,SHHE,WhatsApp,Ginecologia,Vendedor 1,Matriculado,Ganho,13410.00,12/03/2026,106,,T2/26,42,Pagamento confirmado
452,POS,WhatsApp,Endocrinologia,Vendedor 5,Proposta Enviada,Em andamento,36100.00,01/03/2026,32,,T3/26,68,Follow-up agendado para 3 dias
453,R2,Site Orgânico,Medicina do Trabalho,Vendedor 5,Matriculado,Ganho,7650.00,04/05/2026,42,,T2/26,92,Pagamento confirmado
454,R2,Instagram,Ginecologia,Vendedor 4,Matriculado,Ganho,8500.00,15/01/2026,11,,T3/26,74,Parcelado 12x aprovado
455,POS,LinkedIn,Cardiologia,Vendedor 4,Matriculado,Ganho,36100.00,03/01/2026,119,,T4/26,36,Pix recebido
456,R2,Indicação,Nutrologia,Vendedor 6,Negociação,Em andamento,8500.00,28/06/2026,65,,T2/26,49,Aguardando aprovação financeira
457,EAD,Site Orgânico,Pediatria,Vendedor 1,Negociação,Em andamento,1140.00,26/02/2026,12,,T4/26,67,Em análise de parcelamento
458,SHHE,Google Ads,Nutrologia,Vendedor 7,Negociação,Em andamento,13410.00,21/05/2026,7,,T4/26,63,Aguardando aprovação financeira
459,POS,Congresso,Psiquiatria,Vendedor 1,Matriculado,Ganho,32300.00,04/05/2026,18,,T2/26,92,Parcelado 12x aprovado
460,EAD,Parceiro Clínica,Cardiologia,Vendedor 6,Negociação,Em andamento,1080.00,05/03/2026,68,,T2/26,39,Esperando retorno do cônjuge
461,POS,WhatsApp,Neurologia,Vendedor 6,Contato Realizado,Em andamento,34200.00,19/04/2026,53,,T3/26,74,Demo agendada
462,NEXAL,WhatsApp,Medicina do Trabalho,Vendedor 4,Lead Captado,Em andamento,9800.00,31/03/2026,22,,T4/26,48,Aguardando primeiro contato
463,HTI,Email Marketing,Cardiologia,Vendedor 4,Proposta Enviada,Em andamento,15085.80,22/01/2026,94,,T1/26,36,Follow-up agendado para 3 dias
464,R2,Google Ads,Dermatologia,Vendedor 7,Proposta Enviada,Em andamento,7225.00,20/03/2026,15,,T4/26,90,Follow-up agendado para 3 dias
465,NEXAL,Email Marketing,Geriatria,Vendedor 6,Contato Realizado,Em andamento,9310.00,08/03/2026,67,,T4/26,48,Pediu proposta
466,EAD,Indicação,Psiquiatria,Vendedor 6,Perdido,Perdido,1140.00,07/03/2026,6,Sem tempo no momento,T1/26,66,Lead frio
467,EAD,Parceiro Clínica,Dermatologia,Vendedor 7,Negociação,Em andamento,1200.00,10/04/2026,9,,T3/26,76,Aguardando aprovação financeira
468,HTI,Instagram,Neurologia,Vendedor 2,Proposta Enviada,Em andamento,17748.00,26/01/2026,66,,T3/26,92,Aguardando leitura
469,R2,LinkedIn,Endocrinologia,Vendedor 5,Negociação,Em andamento,8500.00,06/01/2026,72,,T1/26,61,Esperando retorno do cônjuge
470,NEXAL,Webinar,Psiquiatria,Vendedor 4,Contato Realizado,Em andamento,9800.00,01/04/2026,88,,T3/26,68,Demo agendada
471,R2,Instagram,Ginecologia,Vendedor 4,Proposta Enviada,Em andamento,8500.00,08/01/2026,114,,T3/26,58,Follow-up agendado para 3 dias
472,NEXAL,Site Orgânico,Neurologia,Vendedor 5,Contato Realizado,Em andamento,9800.00,23/06/2026,67,,T2/26,83,Demo agendada
473,R2,Google Ads,Psiquiatria,Vendedor 3,Perdido,Perdido,8500.00,19/05/2026,58,Sem tempo no momento,T2/26,47,Confirmou escolha do concorrente
474,R2,Email Marketing,Endocrinologia,Vendedor 3,Matriculado,Ganho,8075.00,04/02/2026,117,,T4/26,48,Boleto gerado
475,NEXAL,LinkedIn,Ortopedia,Vendedor 6,Perdido,Perdido,9800.00,23/03/2026,24,Sem tempo no momento,T1/26,70,Não retornou após 5 contatos
476,POS,Instagram,Pediatria,Vendedor 4,Perdido,Perdido,34200.00,12/03/2026,120,Sem tempo no momento,T2/26,43,Lead frio
477,SHHE,Indicação,Medicina do Trabalho,Vendedor 6,Proposta Enviada,Em andamento,14155.00,01/03/2026,79,,T2/26,59,Aguardando leitura
478,HTI,WhatsApp,Clínica Geral,Vendedor 4,Matriculado,Ganho,17748.00,04/06/2026,65,,T4/26,77,Boleto gerado
479,POS,Webinar,Pediatria,Vendedor 5,Contato Realizado,Em andamento,38000.00,15/04/2026,5,,T1/26,64,Interesse demonstrado
480,SHHE,Email Marketing,Cardiologia,Vendedor 7,Contato Realizado,Em andamento,14900.00,07/06/2026,111,,T4/26,71,Interesse demonstrado
481,SHHE,Site Orgânico,Psiquiatria,Vendedor 1,Lead Captado,Em andamento,13410.00,08/04/2026,106,,T3/26,80,Aguardando primeiro contato
482,R2,LinkedIn,Pediatria,Vendedor 2,Matriculado,Ganho,8500.00,04/03/2026,113,,T4/26,35,Parcelado 12x aprovado
483,R2,Indicação,Cardiologia,Vendedor 3,Proposta Enviada,Em andamento,8500.00,15/03/2026,100,,T4/26,51,Proposta personalizada enviada
484,NEXAL,Parceiro Clínica,Ginecologia,Vendedor 4,Negociação,Em andamento,9800.00,15/06/2026,60,,T4/26,41,Aguardando aprovação financeira
485,SHHE,Parceiro Clínica,Geriatria,Vendedor 6,Contato Realizado,Em andamento,14900.00,26/04/2026,42,,T1/26,52,Interesse demonstrado
486,R2,Email Marketing,Pediatria,Vendedor 7,Proposta Enviada,Em andamento,7650.00,11/02/2026,84,,T1/26,41,Follow-up agendado para 3 dias
487,EAD,Webinar,Neurologia,Vendedor 3,Contato Realizado,Em andamento,1080.00,11/05/2026,50,,T2/26,78,Pediu proposta
488,POS,Indicação,Endocrinologia,Vendedor 3,Negociação,Em andamento,34200.00,08/02/2026,111,,T2/26,48,Proposta revisada enviada
489,EAD,Indicação,Psiquiatria,Vendedor 3,Proposta Enviada,Em andamento,1020.00,15/03/2026,58,,T2/26,45,Follow-up agendado para 3 dias
490,SHHE,Indicação,Medicina do Trabalho,Vendedor 1,Proposta Enviada,Em andamento,14900.00,08/05/2026,64,,T1/26,93,Follow-up agendado para 3 dias
491,SHHE,Parceiro Clínica,Neurologia,Vendedor 2,Negociação,Em andamento,14900.00,03/06/2026,11,,T1/26,61,Esperando retorno do cônjuge
492,R2,Congresso,Cardiologia,Vendedor 7,Contato Realizado,Em andamento,8500.00,31/03/2026,84,,T1/26,48,Demo agendada
493,EAD,Parceiro Clínica,Medicina do Trabalho,Vendedor 3,Proposta Enviada,Em andamento,1200.00,28/01/2026,7,,T4/26,52,Follow-up agendado para 3 dias
494,EAD,Instagram,Medicina do Trabalho,Vendedor 4,Matriculado,Ganho,1140.00,24/05/2026,74,,T2/26,88,Pix recebido
495,HTI,LinkedIn,Dermatologia,Vendedor 3,Proposta Enviada,Em andamento,17748.00,18/01/2026,105,,T4/26,100,Follow-up agendado para 3 dias
496,NEXAL,Webinar,Endocrinologia,Vendedor 7,Matriculado,Ganho,9800.00,15/05/2026,43,,T4/26,97,Boleto gerado
497,EAD,Email Marketing,Medicina do Trabalho,Vendedor 7,Contato Realizado,Em andamento,1080.00,16/05/2026,81,,T1/26,91,Pediu proposta
498,EAD,Parceiro Clínica,Geriatria,Vendedor 3,Proposta Enviada,Em andamento,1020.00,08/03/2026,41,,T3/26,46,Aguardando leitura
499,R2,Webinar,Ortopedia,Vendedor 4,Matriculado,Ganho,8500.00,16/02/2026,104,,T2/26,67,Boleto gerado
500,HTI,LinkedIn,Ginecologia,Vendedor 2,Negociação,Em andamento,17748.00,23/02/2026,95,,T4/26,82,Aguardando aprovação financeira
501,NEXAL,WhatsApp,Ortopedia,Vendedor 1,Matriculado,Ganho,9800.00,21/02/2026,82,,T3/26,62,Pagamento confirmado
502,NEXAL,Instagram,Ortopedia,Vendedor 6,Proposta Enviada,Em andamento,9800.00,25/06/2026,15,,T3/26,73,Proposta personalizada enviada
503,EAD,Parceiro Clínica,Medicina do Trabalho,Vendedor 7,Matriculado,Ganho,1200.00,28/03/2026,43,,T4/26,90,Pagamento confirmado
504,EAD,Google Ads,Pediatria,Vendedor 5,Negociação,Em andamento,1020.00,27/03/2026,69,,T4/26,82,Aguardando aprovação financeira
505,R2,Instagram,Medicina do Trabalho,Vendedor 4,Matriculado,Ganho,8075.00,05/01/2026,69,,T2/26,72,Pix recebido
506,HTI,Google Ads,Dermatologia,Vendedor 1,Lead Captado,Em andamento,17748.00,17/05/2026,81,,T2/26,79,Aguardando primeiro contato
507,R2,LinkedIn,Dermatologia,Vendedor 4,Matriculado,Ganho,7650.00,11/03/2026,5,,T4/26,41,Parcelado 12x aprovado
508,SHHE,WhatsApp,Pediatria,Vendedor 1,Perdido,Perdido,14900.00,19/03/2026,68,Sem tempo no momento,T1/26,77,Lead frio
509,SHHE,LinkedIn,Pediatria,Vendedor 6,Lead Captado,Em andamento,14900.00,09/05/2026,116,,T2/26,54,Aguardando primeiro contato
510,POS,Congresso,Dermatologia,Vendedor 1,Proposta Enviada,Em andamento,32300.00,26/01/2026,112,,T2/26,56,Aguardando leitura
511,HTI,Webinar,Psiquiatria,Vendedor 4,Matriculado,Ganho,17748.00,21/03/2026,1,,T1/26,41,Pix recebido
512,POS,Indicação,Clínica Geral,Vendedor 6,Matriculado,Ganho,34200.00,06/01/2026,40,,T3/26,56,Pix recebido
513,SHHE,Email Marketing,Dermatologia,Vendedor 3,Negociação,Em andamento,12665.00,21/06/2026,57,,T1/26,64,Proposta revisada enviada
514,SHHE,Instagram,Clínica Geral,Vendedor 7,Perdido,Perdido,14155.00,27/01/2026,66,Não respondeu após follow-up,T3/26,100,Não retornou após 5 contatos
515,NEXAL,Google Ads,Geriatria,Vendedor 1,Proposta Enviada,Em andamento,9800.00,19/01/2026,22,,T3/26,73,Aguardando leitura
516,POS,Indicação,Endocrinologia,Vendedor 7,Negociação,Em andamento,34200.00,28/01/2026,7,,T4/26,36,Aguardando aprovação financeira
517,POS,Site Orgânico,Endocrinologia,Vendedor 4,Negociação,Em andamento,36100.00,26/06/2026,81,,T4/26,75,Esperando retorno do cônjuge
518,NEXAL,Email Marketing,Geriatria,Vendedor 1,Matriculado,Ganho,9310.00,30/04/2026,11,,T2/26,41,Parcelado 12x aprovado
519,HTI,Webinar,Dermatologia,Vendedor 4,Matriculado,Ganho,15085.80,01/05/2026,60,,T2/26,58,Boleto gerado
520,R2,Instagram,Nutrologia,Vendedor 2,Contato Realizado,Em andamento,7650.00,25/03/2026,43,,T4/26,92,Demo agendada
521,HTI,Webinar,Clínica Geral,Vendedor 3,Negociação,Em andamento,15085.80,14/03/2026,22,,T3/26,46,Aguardando aprovação financeira
522,POS,LinkedIn,Nutrologia,Vendedor 6,Matriculado,Ganho,32300.00,17/05/2026,39,,T4/26,81,Parcelado 12x aprovado
523,SHHE,Parceiro Clínica,Cardiologia,Vendedor 6,Contato Realizado,Em andamento,14900.00,17/01/2026,50,,T3/26,56,Pediu proposta
524,R2,Site Orgânico,Psiquiatria,Vendedor 6,Matriculado,Ganho,8075.00,02/03/2026,89,,T2/26,39,Parcelado 12x aprovado
525,HTI,Parceiro Clínica,Medicina do Trabalho,Vendedor 2,Proposta Enviada,Em andamento,17748.00,24/04/2026,106,,T2/26,69,Proposta personalizada enviada
526,HTI,Parceiro Clínica,Clínica Geral,Vendedor 4,Matriculado,Ganho,15085.80,08/04/2026,105,,T3/26,93,Pagamento confirmado
527,HTI,Email Marketing,Endocrinologia,Vendedor 6,Perdido,Perdido,15973.20,01/01/2026,104,Sem tempo no momento,T2/26,87,Confirmou escolha do concorrente
528,NEXAL,Site Orgânico,Medicina do Trabalho,Vendedor 6,Proposta Enviada,Em andamento,9800.00,23/03/2026,88,,T3/26,68,Proposta personalizada enviada
529,EAD,WhatsApp,Clínica Geral,Vendedor 6,Lead Captado,Em andamento,1140.00,02/02/2026,52,,T3/26,37,Aguardando primeiro contato
530,R2,Indicação,Ginecologia,Vendedor 4,Negociação,Em andamento,8500.00,14/03/2026,15,,T1/26,60,Em análise de parcelamento
531,EAD,Parceiro Clínica,Psiquiatria,Vendedor 4,Proposta Enviada,Em andamento,1200.00,08/04/2026,52,,T4/26,99,Follow-up agendado para 3 dias
532,EAD,Google Ads,Pediatria,Vendedor 5,Contato Realizado,Em andamento,1200.00,03/04/2026,108,,T4/26,49,Interesse demonstrado
533,EAD,Google Ads,Endocrinologia,Vendedor 7,Lead Captado,Em andamento,1200.00,05/05/2026,19,,T4/26,47,Aguardando primeiro contato
534,SHHE,Site Orgânico,Pediatria,Vendedor 1,Matriculado,Ganho,14900.00,16/02/2026,80,,T4/26,95,Parcelado 12x aprovado
535,R2,Webinar,Psiquiatria,Vendedor 3,Contato Realizado,Em andamento,8500.00,02/01/2026,78,,T4/26,60,Pediu proposta
536,R2,Instagram,Psiquiatria,Vendedor 6,Negociação,Em andamento,8500.00,26/05/2026,5,,T4/26,77,Aguardando aprovação financeira
537,R2,Webinar,Geriatria,Vendedor 7,Contato Realizado,Em andamento,7650.00,13/03/2026,68,,T4/26,96,Demo agendada
538,R2,Parceiro Clínica,Clínica Geral,Vendedor 5,Negociação,Em andamento,7650.00,21/06/2026,85,,T1/26,99,Esperando retorno do cônjuge
539,R2,Indicação,Nutrologia,Vendedor 6,Matriculado,Ganho,8500.00,12/05/2026,59,,T4/26,72,Parcelado 12x aprovado
540,NEXAL,Instagram,Dermatologia,Vendedor 5,Lead Captado,Em andamento,9310.00,19/03/2026,96,,T3/26,37,Aguardando primeiro contato
541,R2,Google Ads,Medicina do Trabalho,Vendedor 7,Matriculado,Ganho,8500.00,09/06/2026,104,,T1/26,66,Parcelado 12x aprovado
542,HTI,Google Ads,Ortopedia,Vendedor 7,Matriculado,Ganho,17748.00,03/02/2026,33,,T3/26,65,Pix recebido
543,HTI,LinkedIn,Medicina do Trabalho,Vendedor 5,Perdido,Perdido,15973.20,18/06/2026,20,Desistiu por mudança de prioridades,T3/26,52,Não retornou após 5 contatos
544,EAD,Email Marketing,Pediatria,Vendedor 5,Matriculado,Ganho,1020.00,29/03/2026,5,,T1/26,48,Boleto gerado
545,POS,Site Orgânico,Psiquiatria,Vendedor 5,Matriculado,Ganho,34200.00,12/02/2026,82,,T2/26,74,Pagamento confirmado
546,EAD,Instagram,Clínica Geral,Vendedor 7,Contato Realizado,Em andamento,1200.00,19/03/2026,61,,T4/26,98,Demo agendada
547,POS,Site Orgânico,Pediatria,Vendedor 3,Contato Realizado,Em andamento,32300.00,04/01/2026,56,,T3/26,87,Interesse demonstrado
548,EAD,WhatsApp,Ortopedia,Vendedor 4,Perdido,Perdido,1200.00,17/05/2026,118,Adiou para próxima turma,T4/26,64,Não retornou após 5 contatos
549,NEXAL,Instagram,Clínica Geral,Vendedor 3,Matriculado,Ganho,9800.00,22/06/2026,60,,T2/26,54,Pix recebido
550,EAD,Google Ads,Nutrologia,Vendedor 6,Lead Captado,Em andamento,1200.00,18/01/2026,107,,T1/26,82,Aguardando primeiro contato
551,R2,LinkedIn,Neurologia,Vendedor 2,Proposta Enviada,Em andamento,7650.00,06/03/2026,37,,T2/26,34,Follow-up agendado para 3 dias
552,R2,LinkedIn,Ginecologia,Vendedor 6,Matriculado,Ganho,7225.00,03/06/2026,28,,T1/26,45,Pagamento confirmado
553,R2,Google Ads,Psiquiatria,Vendedor 4,Matriculado,Ganho,7650.00,17/02/2026,73,,T1/26,53,Pix recebido
554,NEXAL,Webinar,Neurologia,Vendedor 7,Matriculado,Ganho,9800.00,20/04/2026,99,,T3/26,62,Boleto gerado
555,HTI,Instagram,Ginecologia,Vendedor 2,Proposta Enviada,Em andamento,17748.00,09/03/2026,34,,T2/26,86,Follow-up agendado para 3 dias
556,POS,Email Marketing,Medicina do Trabalho,Vendedor 2,Contato Realizado,Em andamento,38000.00,06/02/2026,14,,T4/26,57,Pediu proposta
557,EAD,LinkedIn,Pediatria,Vendedor 4,Proposta Enviada,Em andamento,1200.00,19/01/2026,10,,T3/26,87,Follow-up agendado para 3 dias
558,POS,Google Ads,Neurologia,Vendedor 4,Lead Captado,Em andamento,38000.00,10/04/2026,86,,T3/26,49,Aguardando primeiro contato
559,POS,Parceiro Clínica,Ginecologia,Vendedor 6,Matriculado,Ganho,32300.00,03/05/2026,63,,T4/26,81,Pagamento confirmado
560,R2,Email Marketing,Ginecologia,Vendedor 2,Perdido,Perdido,7225.00,04/05/2026,100,Escolheu concorrente,T3/26,72,Confirmou escolha do concorrente
561,NEXAL,Site Orgânico,Ginecologia,Vendedor 4,Perdido,Perdido,8820.00,04/04/2026,12,Questões financeiras pessoais,T3/26,40,Não retornou após 5 contatos
