ID,Curso,Turma,Mes_Realizacao,Cidade,Nota_NPS_0_10,Nota_Conteudo,Nota_Professor,Nota_Plataforma_EAD,Nota_Suporte,Nota_Logistica,Perfil_Aluno,Modalidade,Recomendaria,Comentario_Aberto
364,SHHE,T1/26,Fevereiro,São Paulo,5,5,6,3,6,4,Especialista,Presencial,Não,Esperava mais interação ao vivo. Ficou muito teórico.
365,POS,T4/26,Janeiro,Fortaleza,8,8,7,6,9,6,Coordenador de área,Presencial,Talvez,Conteúdo sólido mas o ritmo poderia ser mais cadenciado.
366,NEXAL,T1/26,Junho,Fortaleza,10,9,9,9,9,10,Coordenador de área,Presencial,Sim,"Conteúdo excelente, professor muito didático. Já apliquei na prática."
367,POS,T4/26,Abril,Fortaleza,10,10,10,9,8,10,Médico recém-formado,Presencial,Sim,Transformador. Indicarei para toda a minha equipe da clínica.
368,POS,T3/26,Maio,Fortaleza,10,9,9,10,10,8,Residente,Presencial,Sim,"Conteúdo excelente, professor muito didático. Já apliquei na prática."
369,NEXAL,T5/26,Março,Fortaleza,7,8,8,7,8,5,Coordenador de área,Presencial,Talvez,O suporte demorou para responder minhas dúvidas pré-evento.
370,HTI,T1/26,Abril,São Paulo,4,5,6,3,4,5,Especialista,Presencial,Não,Esperava mais interação ao vivo. Ficou muito teórico.
371,HTI,T5/26,Março,Fortaleza,8,7,8,7,8,6,Médico recém-formado,Presencial,Talvez,Conteúdo sólido mas o ritmo poderia ser mais cadenciado.
372,NEXAL,T1/26,Maio,Fortaleza,10,9,9,7,8,9,Residente,Presencial,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
373,POS,T3/26,Março,Fortaleza,10,10,10,8,10,8,Médico,Presencial,Sim,Transformador. Indicarei para toda a minha equipe da clínica.
374,NEXAL,T1/26,Fevereiro,Fortaleza,9,10,10,6,10,7,Especialista,Presencial,Sim,Superou minhas expectativas. Material didático de altíssima qualidade.
375,POS,T4/26,Janeiro,Fortaleza,7,8,7,4,8,5,Residente,Presencial,Talvez,O suporte demorou para responder minhas dúvidas pré-evento.
376,NEXAL,T5/26,Maio,Fortaleza,9,8,10,6,9,10,Residente,Presencial,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
377,NEXAL,T2/26,Março,Fortaleza,9,8,10,9,8,9,Especialista,Presencial,Sim,"Conteúdo excelente, professor muito didático. Já apliquei na prática."
378,POS,T2/26,Janeiro,Fortaleza,10,10,9,9,10,10,Médico recém-formado,Presencial,Sim,Transformador. Indicarei para toda a minha equipe da clínica.
379,HTI,T2/26,Fevereiro,Fortaleza,8,7,9,7,9,9,Médico recém-formado,Presencial,Talvez,Material impresso com alguns erros de formatação.
380,R2,T4/26,Abril,Fortaleza,10,9,10,9,10,10,Coordenador de área,Híbrido,Sim,"Professor incrível, conteúdo denso mas muito bem explicado."
381,POS,T4/26,Fevereiro,Fortaleza,9,8,10,9,9,10,Médico,Presencial,Sim,"A plataforma EAD funcionou perfeitamente, sem nenhuma interrupção."
382,HTI,T4/26,Maio,São Paulo,5,6,6,4,5,5,Especialista,Presencial,Não,"Temperatura do espaço muito baixa, dificultou a concentração."
383,POS,T1/26,Fevereiro,Fortaleza,9,8,10,8,10,10,Médico,Presencial,Sim,Superou minhas expectativas. Material didático de altíssima qualidade.
384,R2,T4/26,Fevereiro,Fortaleza,8,9,7,8,6,6,Coordenador de área,Híbrido,Talvez,Bom de forma geral. A plataforma EAD precisa melhorar.
385,SHHE,T1/26,Maio,São Paulo,10,10,10,10,10,9,Coordenador de área,Presencial,Sim,"A plataforma EAD funcionou perfeitamente, sem nenhuma interrupção."
386,NEXAL,T3/26,Março,Fortaleza,9,10,10,8,10,8,Coordenador de área,Presencial,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
387,POS,T3/26,Abril,Fortaleza,7,6,7,6,5,7,Coordenador de área,Presencial,Talvez,"Válido, mas a carga horária poderia ser melhor distribuída."
388,HTI,T4/26,Maio,São Paulo,10,10,9,7,9,9,Médico recém-formado,Presencial,Sim,"A plataforma EAD funcionou perfeitamente, sem nenhuma interrupção."
389,R2,T1/26,Maio,Fortaleza,9,9,8,8,8,8,Médico recém-formado,Híbrido,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
390,HTI,T3/26,Janeiro,São Paulo,10,10,10,8,9,10,Especialista,Presencial,Sim,Valeu cada centavo. O networking foi um bônus inesperado.
391,SHHE,T4/26,Junho,São Paulo,8,8,7,5,7,9,Coordenador de área,Presencial,Talvez,Bom de forma geral. A plataforma EAD precisa melhorar.
392,R2,T4/26,Fevereiro,Fortaleza,10,10,10,7,10,9,Residente,Híbrido,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
393,HTI,T1/26,Junho,Fortaleza,9,10,9,9,7,10,Especialista,Presencial,Sim,O suporte antes e durante o curso foi impecável.
394,HTI,T5/26,Junho,São Paulo,10,10,10,7,10,10,Médico,Presencial,Sim,Transformador. Indicarei para toda a minha equipe da clínica.
395,POS,T5/26,Junho,Fortaleza,9,9,8,6,8,9,Médico recém-formado,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
396,SHHE,T3/26,Abril,São Paulo,7,6,7,5,7,5,Especialista,Presencial,Talvez,Conteúdo sólido mas o ritmo poderia ser mais cadenciado.
397,POS,T4/26,Fevereiro,Fortaleza,10,10,10,10,10,10,Especialista,Presencial,Sim,"A plataforma EAD funcionou perfeitamente, sem nenhuma interrupção."
398,NEXAL,T5/26,Janeiro,Fortaleza,10,9,10,9,8,9,Especialista,Presencial,Sim,"A plataforma EAD funcionou perfeitamente, sem nenhuma interrupção."
399,NEXAL,T3/26,Março,Fortaleza,10,9,10,9,10,10,Especialista,Presencial,Sim,"Professor incrível, conteúdo denso mas muito bem explicado."
400,SHHE,T2/26,Maio,São Paulo,8,9,7,5,7,8,Residente,Presencial,Talvez,Bom curso mas esperava mais casos clínicos práticos.
401,NEXAL,T3/26,Junho,Fortaleza,9,10,9,9,8,9,Residente,Presencial,Sim,"A plataforma EAD funcionou perfeitamente, sem nenhuma interrupção."
402,R2,T3/26,Maio,Fortaleza,8,8,9,6,9,7,Coordenador de área,Híbrido,Talvez,Alguns módulos muito densos para o tempo disponível.
403,HTI,T1/26,Março,São Paulo,7,6,7,4,6,7,Coordenador de área,Presencial,Talvez,Bom conteúdo mas apresentação dos slides poderia ser mais visual.
404,R2,T1/26,Junho,Fortaleza,10,10,9,8,10,8,Coordenador de área,Híbrido,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
405,NEXAL,T5/26,Janeiro,Fortaleza,8,9,9,5,6,9,Médico recém-formado,Presencial,Talvez,Bom de forma geral. A plataforma EAD precisa melhorar.
406,SHHE,T3/26,Junho,Fortaleza,10,9,9,10,9,8,Médico recém-formado,Presencial,Sim,Superou minhas expectativas. Material didático de altíssima qualidade.
407,R2,T3/26,Janeiro,Fortaleza,10,10,9,8,10,8,Residente,Híbrido,Sim,Valeu cada centavo. O networking foi um bônus inesperado.
408,SHHE,T5/26,Maio,São Paulo,5,5,6,3,4,6,Médico,Presencial,Não,"Temperatura do espaço muito baixa, dificultou a concentração."
409,HTI,T4/26,Fevereiro,Fortaleza,9,10,9,8,7,10,Médico,Presencial,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
410,SHHE,T5/26,Junho,São Paulo,9,8,9,9,9,10,Residente,Presencial,Sim,Transformador. Indicarei para toda a minha equipe da clínica.
411,R2,T4/26,Maio,Fortaleza,8,9,8,7,7,8,Especialista,Híbrido,Talvez,O suporte demorou para responder minhas dúvidas pré-evento.
412,POS,T1/26,Fevereiro,Fortaleza,9,9,10,9,10,8,Residente,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
413,POS,T3/26,Janeiro,Fortaleza,10,10,10,8,9,8,Residente,Presencial,Sim,Valeu cada centavo. O networking foi um bônus inesperado.
414,NEXAL,T5/26,Março,Fortaleza,8,9,8,5,8,7,Médico recém-formado,Presencial,Talvez,"Válido, mas a carga horária poderia ser melhor distribuída."
415,NEXAL,T2/26,Fevereiro,Fortaleza,10,9,9,8,10,10,Médico recém-formado,Presencial,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
416,NEXAL,T2/26,Março,Fortaleza,9,9,9,7,9,9,Especialista,Presencial,Sim,Transformador. Indicarei para toda a minha equipe da clínica.
417,POS,T3/26,Abril,Fortaleza,9,9,8,9,7,10,Especialista,Presencial,Sim,"Professor incrível, conteúdo denso mas muito bem explicado."
418,POS,T3/26,Janeiro,Fortaleza,10,9,9,9,10,10,Médico,Presencial,Sim,Transformador. Indicarei para toda a minha equipe da clínica.
419,POS,T4/26,Março,Fortaleza,9,10,8,7,10,9,Médico,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
420,SHHE,T2/26,Março,São Paulo,10,10,10,7,10,10,Residente,Presencial,Sim,Superou minhas expectativas. Material didático de altíssima qualidade.
421,R2,T5/26,Abril,Fortaleza,4,5,6,3,4,4,Coordenador de área,Híbrido,Não,Esperava mais interação ao vivo. Ficou muito teórico.
422,HTI,T4/26,Fevereiro,São Paulo,5,6,6,3,4,5,Médico recém-formado,Presencial,Não,Apostila com erros em vários módulos.
423,R2,T1/26,Abril,Fortaleza,8,9,9,7,8,6,Residente,Híbrido,Talvez,Conteúdo sólido mas o ritmo poderia ser mais cadenciado.
424,NEXAL,T3/26,Abril,Fortaleza,10,9,9,9,10,9,Coordenador de área,Presencial,Sim,Transformador. Indicarei para toda a minha equipe da clínica.
425,NEXAL,T2/26,Junho,Fortaleza,10,10,10,7,9,8,Coordenador de área,Presencial,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
426,POS,T4/26,Janeiro,Fortaleza,10,9,10,9,8,10,Médico,Presencial,Sim,O suporte antes e durante o curso foi impecável.
427,NEXAL,T5/26,Abril,Fortaleza,8,8,9,5,6,6,Médico recém-formado,Presencial,Talvez,Conteúdo sólido mas o ritmo poderia ser mais cadenciado.
428,R2,T2/26,Maio,Fortaleza,10,9,10,10,9,8,Coordenador de área,Híbrido,Sim,Superou minhas expectativas. Material didático de altíssima qualidade.
429,POS,T4/26,Junho,Fortaleza,7,7,6,5,7,8,Médico recém-formado,Presencial,Talvez,Alguns módulos muito densos para o tempo disponível.
430,HTI,T4/26,Maio,São Paulo,9,9,8,6,8,9,Coordenador de área,Presencial,Sim,"Professor incrível, conteúdo denso mas muito bem explicado."
431,NEXAL,T2/26,Maio,Fortaleza,9,9,10,9,8,9,Médico recém-formado,Presencial,Sim,"Professor incrível, conteúdo denso mas muito bem explicado."
432,SHHE,T2/26,Fevereiro,São Paulo,6,7,7,3,5,6,Médico,Presencial,Não,Wi-Fi do local caiu no segundo dia. Prejudicou as apresentações.
433,NEXAL,T2/26,Junho,Fortaleza,7,7,6,7,7,6,Residente,Presencial,Talvez,Material impresso com alguns erros de formatação.
434,HTI,T2/26,Abril,Fortaleza,10,9,10,8,10,8,Coordenador de área,Presencial,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
435,POS,T2/26,Fevereiro,Fortaleza,10,10,9,7,9,8,Residente,Presencial,Sim,Valeu cada centavo. O networking foi um bônus inesperado.
436,HTI,T4/26,Junho,São Paulo,10,10,10,8,9,8,Médico recém-formado,Presencial,Sim,Transformador. Indicarei para toda a minha equipe da clínica.
437,POS,T3/26,Maio,Fortaleza,6,6,6,3,7,7,Coordenador de área,Presencial,Não,Suporte não respondeu meu e-mail em 3 dias. Abaixo do esperado.
438,NEXAL,T3/26,Março,Fortaleza,10,10,10,9,9,8,Coordenador de área,Presencial,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
439,HTI,T3/26,Junho,São Paulo,8,7,7,6,6,7,Médico recém-formado,Presencial,Talvez,"Válido, mas a carga horária poderia ser melhor distribuída."
440,SHHE,T4/26,Janeiro,Fortaleza,10,10,10,9,10,10,Residente,Presencial,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
441,SHHE,T2/26,Maio,São Paulo,10,10,9,9,8,9,Médico,Presencial,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
442,SHHE,T3/26,Abril,São Paulo,10,10,10,9,8,8,Especialista,Presencial,Sim,"Conteúdo excelente, professor muito didático. Já apliquei na prática."
443,POS,T1/26,Junho,Fortaleza,10,10,9,10,9,9,Médico,Presencial,Sim,"Conteúdo excelente, professor muito didático. Já apliquei na prática."
444,NEXAL,T2/26,Janeiro,Fortaleza,9,8,8,9,10,10,Médico recém-formado,Presencial,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
445,SHHE,T5/26,Junho,Fortaleza,9,9,8,8,9,7,Coordenador de área,Presencial,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
446,R2,T2/26,Fevereiro,Fortaleza,7,6,6,5,5,5,Coordenador de área,Híbrido,Talvez,O suporte demorou para responder minhas dúvidas pré-evento.
447,R2,T1/26,Fevereiro,Fortaleza,8,7,9,7,8,9,Médico recém-formado,Híbrido,Talvez,O suporte demorou para responder minhas dúvidas pré-evento.
448,SHHE,T3/26,Abril,São Paulo,7,8,6,7,5,6,Residente,Presencial,Talvez,Bom curso mas esperava mais casos clínicos práticos.
449,SHHE,T1/26,Fevereiro,Fortaleza,8,9,8,8,8,7,Médico recém-formado,Presencial,Talvez,Alguns módulos muito densos para o tempo disponível.
450,POS,T2/26,Abril,Fortaleza,9,10,9,6,9,9,Especialista,Presencial,Sim,"Professor incrível, conteúdo denso mas muito bem explicado."
451,NEXAL,T3/26,Abril,Fortaleza,10,10,10,7,10,10,Médico,Presencial,Sim,Transformador. Indicarei para toda a minha equipe da clínica.
452,POS,T1/26,Maio,Fortaleza,6,5,6,3,4,6,Residente,Presencial,Não,Wi-Fi do local caiu no segundo dia. Prejudicou as apresentações.
453,NEXAL,T4/26,Abril,Fortaleza,9,8,10,7,10,8,Residente,Presencial,Sim,Valeu cada centavo. O networking foi um bônus inesperado.
454,HTI,T2/26,Junho,São Paulo,9,8,10,6,9,8,Médico recém-formado,Presencial,Sim,"Professor incrível, conteúdo denso mas muito bem explicado."
455,NEXAL,T2/26,Janeiro,Fortaleza,10,10,10,8,9,10,Residente,Presencial,Sim,Superou minhas expectativas. Material didático de altíssima qualidade.
456,HTI,T4/26,Março,São Paulo,9,9,9,9,9,8,Especialista,Presencial,Sim,"Conteúdo excelente, professor muito didático. Já apliquei na prática."
457,HTI,T3/26,Junho,São Paulo,8,9,9,5,6,9,Residente,Presencial,Talvez,"Válido, mas a carga horária poderia ser melhor distribuída."
458,POS,T2/26,Fevereiro,Fortaleza,8,7,9,8,9,7,Residente,Presencial,Talvez,Material impresso com alguns erros de formatação.
459,HTI,T2/26,Março,Fortaleza,9,10,10,7,8,10,Residente,Presencial,Sim,Superou minhas expectativas. Material didático de altíssima qualidade.
460,NEXAL,T1/26,Junho,Fortaleza,6,6,7,3,7,5,Coordenador de área,Presencial,Não,Esperava mais interação ao vivo. Ficou muito teórico.
461,HTI,T5/26,Junho,São Paulo,7,8,7,6,5,8,Especialista,Presencial,Talvez,Conteúdo sólido mas o ritmo poderia ser mais cadenciado.
462,POS,T4/26,Maio,Fortaleza,7,8,8,7,7,6,Médico recém-formado,Presencial,Talvez,Conteúdo sólido mas o ritmo poderia ser mais cadenciado.
463,HTI,T5/26,Maio,São Paulo,8,9,8,8,9,6,Médico,Presencial,Talvez,O suporte demorou para responder minhas dúvidas pré-evento.
464,NEXAL,T3/26,Junho,Fortaleza,9,9,10,8,9,7,Médico,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
465,POS,T2/26,Maio,Fortaleza,9,10,9,8,7,10,Médico recém-formado,Presencial,Sim,"A plataforma EAD funcionou perfeitamente, sem nenhuma interrupção."
466,R2,T4/26,Maio,Fortaleza,9,10,9,6,7,7,Médico recém-formado,Híbrido,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
467,HTI,T2/26,Março,São Paulo,10,10,10,10,8,10,Coordenador de área,Presencial,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
468,R2,T5/26,Janeiro,Fortaleza,10,10,10,10,8,9,Médico recém-formado,Híbrido,Sim,"Professor incrível, conteúdo denso mas muito bem explicado."
469,HTI,T3/26,Janeiro,São Paulo,9,8,10,9,9,9,Especialista,Presencial,Sim,Transformador. Indicarei para toda a minha equipe da clínica.
470,SHHE,T3/26,Abril,São Paulo,8,9,9,7,7,7,Médico recém-formado,Presencial,Talvez,Material impresso com alguns erros de formatação.
471,POS,T3/26,Fevereiro,Fortaleza,10,9,10,9,9,10,Especialista,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
472,HTI,T4/26,Março,São Paulo,9,9,8,8,10,9,Especialista,Presencial,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
473,NEXAL,T2/26,Fevereiro,Fortaleza,8,7,7,7,8,7,Coordenador de área,Presencial,Talvez,Conteúdo sólido mas o ritmo poderia ser mais cadenciado.
474,SHHE,T1/26,Janeiro,São Paulo,10,10,10,9,9,10,Médico recém-formado,Presencial,Sim,Transformador. Indicarei para toda a minha equipe da clínica.
475,POS,T2/26,Abril,Fortaleza,6,7,6,3,6,5,Coordenador de área,Presencial,Não,Plataforma travou várias vezes durante o módulo 3. Muito frustrante.
476,SHHE,T5/26,Fevereiro,São Paulo,8,8,7,6,7,7,Coordenador de área,Presencial,Talvez,Bom de forma geral. A plataforma EAD precisa melhorar.
477,SHHE,T1/26,Março,São Paulo,2,5,6,3,4,4,Coordenador de área,Presencial,Não,Conteúdo repetitivo em relação ao que aprendi em outro curso.
478,R2,T5/26,Abril,Fortaleza,9,9,10,8,9,9,Coordenador de área,Híbrido,Sim,Transformador. Indicarei para toda a minha equipe da clínica.
479,NEXAL,T2/26,Março,Fortaleza,9,8,10,7,9,8,Médico recém-formado,Presencial,Sim,"A plataforma EAD funcionou perfeitamente, sem nenhuma interrupção."
480,SHHE,T1/26,Maio,São Paulo,9,8,10,7,9,8,Coordenador de área,Presencial,Sim,Superou minhas expectativas. Material didático de altíssima qualidade.
481,R2,T1/26,Abril,Fortaleza,9,9,10,9,7,8,Médico,Híbrido,Sim,O suporte antes e durante o curso foi impecável.
482,POS,T5/26,Junho,Fortaleza,4,5,6,3,4,4,Médico,Presencial,Não,Esperava mais interação ao vivo. Ficou muito teórico.
483,R2,T3/26,Junho,Fortaleza,2,5,6,3,4,4,Residente,Híbrido,Não,"Temperatura do espaço muito baixa, dificultou a concentração."
484,NEXAL,T5/26,Junho,Fortaleza,9,9,8,9,8,9,Médico,Presencial,Sim,"A plataforma EAD funcionou perfeitamente, sem nenhuma interrupção."
485,HTI,T3/26,Maio,Fortaleza,10,10,9,10,9,9,Residente,Presencial,Sim,"A plataforma EAD funcionou perfeitamente, sem nenhuma interrupção."
486,SHHE,T2/26,Janeiro,São Paulo,9,8,9,6,7,10,Médico recém-formado,Presencial,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
487,POS,T4/26,Junho,Fortaleza,9,9,8,6,9,9,Residente,Presencial,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
488,NEXAL,T4/26,Janeiro,Fortaleza,7,7,6,5,7,5,Especialista,Presencial,Talvez,Bom conteúdo mas apresentação dos slides poderia ser mais visual.
489,HTI,T5/26,Março,Fortaleza,9,10,8,8,7,8,Médico,Presencial,Sim,O suporte antes e durante o curso foi impecável.
490,HTI,T1/26,Março,São Paulo,2,5,6,3,4,4,Residente,Presencial,Não,"Temperatura do espaço muito baixa, dificultou a concentração."
491,SHHE,T5/26,Fevereiro,São Paulo,5,6,6,4,4,6,Residente,Presencial,Não,Cronograma atrasou mais de 1h no segundo dia sem aviso.
492,SHHE,T4/26,Janeiro,São Paulo,10,9,10,9,8,10,Residente,Presencial,Sim,"A plataforma EAD funcionou perfeitamente, sem nenhuma interrupção."
493,R2,T2/26,Janeiro,Fortaleza,9,10,8,8,10,10,Coordenador de área,Híbrido,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
494,R2,T1/26,Março,Fortaleza,8,7,7,8,7,9,Médico,Híbrido,Talvez,Material impresso com alguns erros de formatação.
495,HTI,T4/26,Junho,São Paulo,10,9,10,7,10,10,Médico recém-formado,Presencial,Sim,Valeu cada centavo. O networking foi um bônus inesperado.
496,NEXAL,T3/26,Fevereiro,Fortaleza,9,8,9,9,10,10,Coordenador de área,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
497,POS,T1/26,Abril,Fortaleza,6,7,6,6,6,7,Especialista,Presencial,Não,Plataforma travou várias vezes durante o módulo 3. Muito frustrante.
498,R2,T1/26,Fevereiro,Fortaleza,10,10,10,8,10,8,Médico recém-formado,Híbrido,Sim,"Conteúdo excelente, professor muito didático. Já apliquei na prática."
499,HTI,T3/26,Abril,Fortaleza,10,9,10,10,9,10,Médico,Presencial,Sim,Valeu cada centavo. O networking foi um bônus inesperado.
500,HTI,T4/26,Fevereiro,São Paulo,10,9,10,8,10,9,Médico recém-formado,Presencial,Sim,"A plataforma EAD funcionou perfeitamente, sem nenhuma interrupção."
