ID,Edicao_Congresso,Perfil_Participante,Estado,Especialidade,Como_Ficou_Sabendo,Primeiro_Congresso,Nota_Geral_0_10,Nota_Conteudo_Cientifico,Nota_Palestrantes,Nota_Logistica,Nota_Credenciamento,Nota_Coffee_Refeicoes,Nota_App_Evento,Interesse_Proxima_Edicao,Indicaria_Para_Colegas,Comentario_Aberto
297,Congresso Anual XPTO,Patrocinador,DF,Ginecologia,Indicação de colega,Não,9,8,10,7,6,10,9,Sim,Sim,Organização impecável. Logística funcionou perfeitamente do início ao fim.
298,Congresso Anual XPTO,Médico participante,BA,Neurologia,Parceiro clínica,Não,8,7,8,6,5,8,6,Sim,Sim,Salas um pouco frias no segundo período. Sugiro ajuste no ar-condicionado.
299,Congresso Anual XPTO,Patrocinador,RJ,Nutrologia,Redes sociais,Não,6,6,6,4,4,5,5,Talvez,Talvez,App do evento com erros na programação — entrei na sala errada.
300,Congresso Anual XPTO,Equipe interna XPTO,RN,Ortopedia,Parceiro clínica,Não,6,6,6,6,3,5,5,Talvez,Talvez,Sinalização do hotel confusa. Me perdi indo para o workshop.
301,Congresso Anual XPTO,Médico residente,MG,Dermatologia,Parceiro clínica,Sim,4,6,6,5,4,5,4,Não,Não,Credenciamento demorou mais de 50 minutos. Perdi a primeira palestra.
302,Congresso Anual XPTO,Convidado especial,RS,Pediatria,Email marketing,Não,8,7,9,8,8,7,6,Sim,Sim,App do evento com informações desatualizadas em alguns momentos.
303,Congresso Anual XPTO,Convidado especial,ES,Medicina Integrativa,Email marketing,Não,10,10,10,10,10,10,9,Sim,Sim,O Dr. Ítalo é um inspirador nato. Presença obrigatória.
304,Congresso Anual XPTO,Médico palestrante,RS,Pediatria,Congresso anterior,Não,9,10,10,9,10,9,9,Sim,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
305,Congresso Anual XPTO,Patrocinador,MA,Dermatologia,Indicação de colega,Não,7,8,6,5,7,7,4,Sim,Talvez,Adorei os palestrantes principais. Os workshops simultâneos foram irregulares.
306,Congresso Anual XPTO,Médico participante,CE,Ginecologia,Indicação de colega,Não,8,7,9,7,5,7,6,Sim,Sim,Conteúdo excelente mas programação muito densa para 2 dias.
307,Congresso Anual XPTO,Patrocinador,AM,Clínica Geral,Indicação de colega,Sim,8,8,7,7,8,7,5,Sim,Sim,Organização boa mas coffee break repetitivo no segundo dia.
308,Congresso Anual XPTO,Patrocinador,SC,Neurologia,WhatsApp,Não,8,9,9,9,6,9,6,Sim,Sim,Salas um pouco frias no segundo período. Sugiro ajuste no ar-condicionado.
309,Congresso Anual XPTO,Equipe interna XPTO,PB,Ortopedia,Redes sociais,Não,8,9,7,7,7,7,7,Sim,Sim,Organização boa mas coffee break repetitivo no segundo dia.
310,Congresso Anual XPTO,Médico palestrante,RJ,Neurologia,Indicação de colega,Sim,9,8,10,8,7,7,7,Sim,Sim,Networking incrível. Já tenho novos parceiros de consultório.
311,Congresso Anual XPTO,Convidado especial,RS,Psiquiatria,Email marketing,Não,8,7,7,9,5,6,6,Sim,Sim,Salas um pouco frias no segundo período. Sugiro ajuste no ar-condicionado.
312,Congresso Anual XPTO,Patrocinador,RN,Endocrinologia,Indicação de colega,Não,9,9,8,8,9,10,6,Sim,Sim,Já indiquei para 5 colegas. Vale muito o investimento.
313,Congresso Anual XPTO,Equipe interna XPTO,PR,Endocrinologia,Redes sociais,Não,9,9,10,9,10,9,9,Sim,Sim,Organização impecável. Logística funcionou perfeitamente do início ao fim.
314,Congresso Anual XPTO,Equipe interna XPTO,RS,Geriatria,Email marketing,Não,7,6,8,8,7,6,4,Sim,Talvez,Salas um pouco frias no segundo período. Sugiro ajuste no ar-condicionado.
315,Congresso Anual XPTO,Médico participante,SE,Endocrinologia,Congresso anterior,Não,10,10,10,9,7,10,8,Sim,Sim,Networking incrível. Já tenho novos parceiros de consultório.
316,Congresso Anual XPTO,Equipe interna XPTO,BA,Geriatria,Congresso anterior,Não,10,9,10,9,8,9,8,Sim,Sim,"Materiais e apostilas de alta qualidade, bem organizados."
317,Congresso Anual XPTO,Equipe interna XPTO,PR,Clínica Geral,Congresso anterior,Não,10,10,10,8,9,9,8,Sim,Sim,Networking incrível. Já tenho novos parceiros de consultório.
318,Congresso Anual XPTO,Médico palestrante,AM,Psiquiatria,Redes sociais,Não,10,10,10,9,9,10,9,Sim,Sim,A equipe de suporte foi extremamente atenciosa durante todo o evento.
319,Congresso Anual XPTO,Médico participante,RN,Ortopedia,Congresso anterior,Não,9,9,8,8,9,9,7,Sim,Sim,"O melhor congresso da área no Brasil, sem dúvida. Estarei no próximo."
320,Congresso Anual XPTO,Convidado especial,AM,Dermatologia,Parceiro clínica,Não,9,9,10,7,7,10,9,Sim,Sim,"O melhor congresso da área no Brasil, sem dúvida. Estarei no próximo."
321,Congresso Anual XPTO,Médico palestrante,PI,Endocrinologia,Site XPTO,Sim,7,7,6,8,8,8,4,Sim,Talvez,Localização ótima mas estacionamento insuficiente.
322,Congresso Anual XPTO,Equipe interna XPTO,AM,Endocrinologia,WhatsApp,Não,10,10,9,9,8,8,7,Sim,Sim,Organização impecável. Logística funcionou perfeitamente do início ao fim.
323,Congresso Anual XPTO,Patrocinador,MT,Ortopedia,Parceiro clínica,Não,10,10,9,9,7,8,9,Sim,Sim,Excelente curadoria de palestrantes. Cada apresentação trouxe valor real.
324,Congresso Anual XPTO,Equipe interna XPTO,MA,Psiquiatria,Site XPTO,Não,9,10,9,9,7,9,8,Sim,Sim,Organização impecável. Logística funcionou perfeitamente do início ao fim.
325,Congresso Anual XPTO,Médico palestrante,SE,Medicina Integrativa,Email marketing,Sim,7,7,7,6,7,5,6,Sim,Talvez,Conteúdo excelente mas programação muito densa para 2 dias.
326,Congresso Anual XPTO,Equipe interna XPTO,RJ,Nutrologia,Parceiro clínica,Sim,10,10,10,8,7,9,8,Sim,Sim,"Materiais e apostilas de alta qualidade, bem organizados."
327,Congresso Anual XPTO,Convidado especial,GO,Psiquiatria,Email marketing,Sim,8,8,8,7,5,7,5,Sim,Sim,Salas um pouco frias no segundo período. Sugiro ajuste no ar-condicionado.
328,Congresso Anual XPTO,Equipe interna XPTO,RJ,Cardiologia,Congresso anterior,Não,9,10,8,8,9,7,7,Sim,Sim,"Materiais e apostilas de alta qualidade, bem organizados."
329,Congresso Anual XPTO,Médico palestrante,MG,Cardiologia,Indicação de colega,Sim,10,10,10,10,10,9,7,Sim,Sim,Palestrantes de altíssimo nível. Conteúdo científico denso e aplicável.
330,Congresso Anual XPTO,Convidado especial,RJ,Clínica Geral,Email marketing,Não,8,7,7,6,5,6,8,Sim,Sim,Adorei os palestrantes principais. Os workshops simultâneos foram irregulares.
331,Congresso Anual XPTO,Médico residente,AM,Psiquiatria,Congresso anterior,Não,9,8,8,8,6,9,7,Sim,Sim,A equipe de suporte foi extremamente atenciosa durante todo o evento.
332,Congresso Anual XPTO,Equipe interna XPTO,AM,Cardiologia,WhatsApp,Sim,9,9,10,9,10,7,7,Sim,Sim,O Dr. Ítalo é um inspirador nato. Presença obrigatória.
333,Congresso Anual XPTO,Médico palestrante,MG,Clínica Geral,Redes sociais,Sim,10,10,10,9,9,8,9,Sim,Sim,Organização impecável. Logística funcionou perfeitamente do início ao fim.
334,Congresso Anual XPTO,Médico palestrante,MA,Dermatologia,Site XPTO,Sim,3,6,6,4,3,5,3,Não,Não,Credenciamento demorou mais de 50 minutos. Perdi a primeira palestra.
335,Congresso Anual XPTO,Médico palestrante,PI,Geriatria,Redes sociais,Sim,10,10,10,8,7,9,10,Sim,Sim,Palestrantes de altíssimo nível. Conteúdo científico denso e aplicável.
336,Congresso Anual XPTO,Médico palestrante,PE,Cardiologia,Site XPTO,Não,9,10,9,10,8,8,7,Sim,Sim,"O melhor congresso da área no Brasil, sem dúvida. Estarei no próximo."
337,Congresso Anual XPTO,Patrocinador,RJ,Ortopedia,Parceiro clínica,Sim,4,6,6,5,3,5,3,Não,Não,Microfone com chiado durante a palestra principal. Dificultou muito.
338,Congresso Anual XPTO,Médico palestrante,SE,Pediatria,Redes sociais,Sim,7,8,6,8,4,8,7,Sim,Talvez,Bom de forma geral. O credenciamento poderia ter mais pontos de atendimento.
339,Congresso Anual XPTO,Equipe interna XPTO,DF,Endocrinologia,Indicação de colega,Não,9,8,9,9,8,8,6,Sim,Sim,Networking incrível. Já tenho novos parceiros de consultório.
340,Congresso Anual XPTO,Médico residente,SC,Ginecologia,Indicação de colega,Sim,7,8,7,8,7,8,6,Sim,Talvez,Salas um pouco frias no segundo período. Sugiro ajuste no ar-condicionado.
341,Congresso Anual XPTO,Patrocinador,MA,Clínica Geral,Redes sociais,Não,9,9,9,9,9,8,7,Sim,Sim,O Dr. Ítalo é um inspirador nato. Presença obrigatória.
342,Congresso Anual XPTO,Equipe interna XPTO,MG,Endocrinologia,Parceiro clínica,Não,9,8,8,7,10,7,6,Sim,Sim,Excelente curadoria de palestrantes. Cada apresentação trouxe valor real.
343,Congresso Anual XPTO,Médico participante,CE,Cardiologia,Email marketing,Não,10,10,9,8,10,10,9,Sim,Sim,Palestrantes de altíssimo nível. Conteúdo científico denso e aplicável.
344,Congresso Anual XPTO,Equipe interna XPTO,PR,Medicina Integrativa,WhatsApp,Sim,9,10,8,9,9,7,7,Sim,Sim,O coffee break estava excelente. Detalhe que faz diferença no longo dia.
345,Congresso Anual XPTO,Médico participante,MG,Nutrologia,Congresso anterior,Sim,9,8,10,7,9,10,6,Sim,Sim,Networking incrível. Já tenho novos parceiros de consultório.
346,Congresso Anual XPTO,Médico participante,PB,Ortopedia,Indicação de colega,Não,6,6,6,6,7,6,6,Talvez,Talvez,Coffee break acabou antes do intervalo terminar. Problema de planejamento.
347,Congresso Anual XPTO,Médico palestrante,MT,Endocrinologia,Email marketing,Não,7,6,8,8,5,7,6,Sim,Talvez,"Sinalização boa na maioria dos espaços, mas confusa no subsolo."
348,Congresso Anual XPTO,Equipe interna XPTO,ES,Geriatria,Redes sociais,Não,4,6,6,4,3,5,3,Não,Não,Cronograma atrasou mais de 1h30 no segundo dia sem comunicação.
349,Congresso Anual XPTO,Médico palestrante,PB,Dermatologia,Parceiro clínica,Não,10,10,9,8,9,8,8,Sim,Sim,Organização impecável. Logística funcionou perfeitamente do início ao fim.
350,Congresso Anual XPTO,Médico residente,RN,Ginecologia,Email marketing,Sim,10,10,10,10,7,10,9,Sim,Sim,Já indiquei para 5 colegas. Vale muito o investimento.
351,Congresso Anual XPTO,Convidado especial,SP,Clínica Geral,Parceiro clínica,Sim,5,6,6,6,3,5,3,Talvez,Não,Credenciamento demorou mais de 50 minutos. Perdi a primeira palestra.
352,Congresso Anual XPTO,Médico residente,PE,Geriatria,Indicação de colega,Não,9,10,8,9,10,7,8,Sim,Sim,Networking incrível. Já tenho novos parceiros de consultório.
353,Congresso Anual XPTO,Médico residente,RJ,Nutrologia,Parceiro clínica,Sim,5,6,6,4,6,5,5,Talvez,Não,Cronograma atrasou mais de 1h30 no segundo dia sem comunicação.
354,Congresso Anual XPTO,Convidado especial,AL,Pediatria,Congresso anterior,Sim,9,8,9,10,6,10,9,Sim,Sim,O coffee break estava excelente. Detalhe que faz diferença no longo dia.
355,Congresso Anual XPTO,Convidado especial,SC,Clínica Geral,Site XPTO,Não,10,9,9,10,9,8,10,Sim,Sim,Estrutura do evento impecável. Credenciamento rápido e eficiente.
356,Congresso Anual XPTO,Convidado especial,PE,Cardiologia,Indicação de colega,Sim,9,9,8,8,10,9,6,Sim,Sim,O coffee break estava excelente. Detalhe que faz diferença no longo dia.
357,Congresso Anual XPTO,Equipe interna XPTO,SP,Clínica Geral,Congresso anterior,Não,7,7,8,6,4,6,7,Sim,Talvez,Bom de forma geral. O credenciamento poderia ter mais pontos de atendimento.
358,Congresso Anual XPTO,Convidado especial,PB,Neurologia,Parceiro clínica,Sim,6,6,6,5,3,6,3,Talvez,Talvez,Palestrante do horário nobre cancelou sem aviso adequado.
359,Congresso Anual XPTO,Médico palestrante,GO,Psiquiatria,Congresso anterior,Não,9,10,10,10,7,7,6,Sim,Sim,Estrutura do evento impecável. Credenciamento rápido e eficiente.
360,Congresso Anual XPTO,Médico participante,SE,Neurologia,Congresso anterior,Não,10,10,10,8,7,10,9,Sim,Sim,O Dr. Ítalo é um inspirador nato. Presença obrigatória.
361,Congresso Anual XPTO,Convidado especial,RS,Endocrinologia,Parceiro clínica,Sim,9,9,10,8,10,10,8,Sim,Sim,Estrutura do evento impecável. Credenciamento rápido e eficiente.
362,Congresso Anual XPTO,Médico participante,SE,Endocrinologia,Email marketing,Sim,8,7,8,9,7,9,5,Sim,Sim,Adorei os palestrantes principais. Os workshops simultâneos foram irregulares.
363,Congresso Anual XPTO,Médico palestrante,MT,Geriatria,Email marketing,Não,9,8,10,7,7,10,8,Sim,Sim,Organização impecável. Logística funcionou perfeitamente do início ao fim.
364,Congresso Anual XPTO,Convidado especial,ES,Neurologia,WhatsApp,Sim,9,9,10,10,6,9,6,Sim,Sim,O coffee break estava excelente. Detalhe que faz diferença no longo dia.
365,Congresso Anual XPTO,Patrocinador,DF,Ortopedia,Email marketing,Não,10,9,10,10,7,10,10,Sim,Sim,"O melhor congresso da área no Brasil, sem dúvida. Estarei no próximo."
366,Congresso Anual XPTO,Equipe interna XPTO,SE,Psiquiatria,Indicação de colega,Sim,9,10,10,8,8,10,8,Sim,Sim,Palestrantes de altíssimo nível. Conteúdo científico denso e aplicável.
367,Congresso Anual XPTO,Equipe interna XPTO,PI,Psiquiatria,Congresso anterior,Não,8,8,9,6,9,9,7,Sim,Sim,Salas um pouco frias no segundo período. Sugiro ajuste no ar-condicionado.
368,Congresso Anual XPTO,Equipe interna XPTO,SE,Cardiologia,Congresso anterior,Não,10,10,9,10,10,10,8,Sim,Sim,Palestrantes de altíssimo nível. Conteúdo científico denso e aplicável.
369,Congresso Anual XPTO,Equipe interna XPTO,SP,Endocrinologia,WhatsApp,Não,6,6,6,6,7,5,6,Talvez,Talvez,Coffee break acabou antes do intervalo terminar. Problema de planejamento.
370,Congresso Anual XPTO,Convidado especial,SE,Endocrinologia,Email marketing,Não,10,9,10,10,10,9,7,Sim,Sim,A equipe de suporte foi extremamente atenciosa durante todo o evento.
371,Congresso Anual XPTO,Médico palestrante,PE,Medicina Integrativa,Site XPTO,Sim,10,10,10,8,10,8,7,Sim,Sim,Palestrantes de altíssimo nível. Conteúdo científico denso e aplicável.
372,Congresso Anual XPTO,Patrocinador,RJ,Cardiologia,Parceiro clínica,Sim,9,10,8,9,10,8,7,Sim,Sim,"Materiais e apostilas de alta qualidade, bem organizados."
373,Congresso Anual XPTO,Equipe interna XPTO,MG,Cardiologia,Indicação de colega,Não,9,8,9,8,7,7,8,Sim,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
374,Congresso Anual XPTO,Convidado especial,AL,Clínica Geral,Site XPTO,Não,10,10,9,9,9,10,9,Sim,Sim,Estrutura do evento impecável. Credenciamento rápido e eficiente.
375,Congresso Anual XPTO,Médico palestrante,PE,Clínica Geral,WhatsApp,Sim,8,9,7,7,7,8,5,Sim,Sim,Salas um pouco frias no segundo período. Sugiro ajuste no ar-condicionado.
376,Congresso Anual XPTO,Equipe interna XPTO,RJ,Pediatria,Parceiro clínica,Não,9,10,8,8,8,7,6,Sim,Sim,A equipe de suporte foi extremamente atenciosa durante todo o evento.
377,Congresso Anual XPTO,Equipe interna XPTO,SE,Endocrinologia,Email marketing,Não,6,6,6,4,4,6,4,Talvez,Talvez,Cronograma atrasou mais de 1h30 no segundo dia sem comunicação.
378,Congresso Anual XPTO,Médico residente,MT,Dermatologia,WhatsApp,Não,9,10,10,8,10,10,9,Sim,Sim,O Dr. Ítalo é um inspirador nato. Presença obrigatória.
379,Congresso Anual XPTO,Convidado especial,MT,Geriatria,Redes sociais,Não,10,9,10,10,10,10,9,Sim,Sim,Já indiquei para 5 colegas. Vale muito o investimento.
380,Congresso Anual XPTO,Médico participante,MG,Clínica Geral,WhatsApp,Sim,9,10,8,7,9,9,7,Sim,Sim,"Materiais e apostilas de alta qualidade, bem organizados."
381,Congresso Anual XPTO,Equipe interna XPTO,CE,Nutrologia,Email marketing,Sim,9,9,10,7,7,10,7,Sim,Sim,A equipe de suporte foi extremamente atenciosa durante todo o evento.
382,Congresso Anual XPTO,Patrocinador,DF,Medicina Integrativa,Congresso anterior,Não,7,8,8,7,6,7,4,Sim,Talvez,Salas um pouco frias no segundo período. Sugiro ajuste no ar-condicionado.
383,Congresso Anual XPTO,Equipe interna XPTO,SP,Ginecologia,Email marketing,Não,9,10,9,8,8,9,7,Sim,Sim,"O melhor congresso da área no Brasil, sem dúvida. Estarei no próximo."
384,Congresso Anual XPTO,Patrocinador,MT,Medicina Integrativa,Congresso anterior,Não,10,10,10,10,10,10,10,Sim,Sim,"O melhor congresso da área no Brasil, sem dúvida. Estarei no próximo."
385,Congresso Anual XPTO,Patrocinador,ES,Dermatologia,Indicação de colega,Sim,10,10,10,10,9,10,10,Sim,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
386,Congresso Anual XPTO,Convidado especial,SP,Geriatria,Site XPTO,Não,9,8,8,7,9,8,7,Sim,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
387,Congresso Anual XPTO,Patrocinador,MT,Medicina Integrativa,Parceiro clínica,Sim,10,9,10,10,9,8,7,Sim,Sim,A equipe de suporte foi extremamente atenciosa durante todo o evento.
388,Congresso Anual XPTO,Médico residente,AM,Geriatria,WhatsApp,Não,7,6,6,8,5,6,4,Sim,Talvez,Adorei os palestrantes principais. Os workshops simultâneos foram irregulares.
389,Congresso Anual XPTO,Médico palestrante,SC,Endocrinologia,Parceiro clínica,Não,8,8,9,9,7,9,6,Sim,Sim,App do evento com informações desatualizadas em alguns momentos.
390,Congresso Anual XPTO,Convidado especial,RJ,Medicina Integrativa,Email marketing,Sim,6,6,7,4,3,6,5,Talvez,Talvez,Cronograma atrasou mais de 1h30 no segundo dia sem comunicação.
391,Congresso Anual XPTO,Médico participante,SP,Neurologia,Email marketing,Sim,9,10,9,10,9,8,7,Sim,Sim,Palestrantes de altíssimo nível. Conteúdo científico denso e aplicável.
392,Congresso Anual XPTO,Médico palestrante,PI,Geriatria,Redes sociais,Não,10,9,10,10,8,10,9,Sim,Sim,Organização impecável. Logística funcionou perfeitamente do início ao fim.
393,Congresso Anual XPTO,Médico residente,ES,Clínica Geral,Indicação de colega,Não,7,6,6,6,8,7,5,Sim,Talvez,"Sinalização boa na maioria dos espaços, mas confusa no subsolo."
394,Congresso Anual XPTO,Patrocinador,DF,Medicina Integrativa,Redes sociais,Não,9,9,10,7,9,9,7,Sim,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
395,Congresso Anual XPTO,Patrocinador,AL,Endocrinologia,Redes sociais,Sim,7,8,8,6,8,7,6,Sim,Talvez,App do evento com informações desatualizadas em alguns momentos.
396,Congresso Anual XPTO,Patrocinador,CE,Ginecologia,Congresso anterior,Não,8,9,8,8,8,8,6,Sim,Sim,Localização ótima mas estacionamento insuficiente.
397,Congresso Anual XPTO,Médico participante,MG,Endocrinologia,Indicação de colega,Sim,10,10,10,10,10,8,10,Sim,Sim,Estrutura do evento impecável. Credenciamento rápido e eficiente.
398,Congresso Anual XPTO,Equipe interna XPTO,BA,Cardiologia,Congresso anterior,Não,9,10,10,8,9,8,6,Sim,Sim,Networking incrível. Já tenho novos parceiros de consultório.
399,Congresso Anual XPTO,Convidado especial,SE,Medicina Integrativa,Congresso anterior,Sim,10,10,10,8,10,8,7,Sim,Sim,O coffee break estava excelente. Detalhe que faz diferença no longo dia.
400,Congresso Anual XPTO,Equipe interna XPTO,DF,Ginecologia,Redes sociais,Não,9,8,8,10,10,8,8,Sim,Sim,"Materiais e apostilas de alta qualidade, bem organizados."
